Bentley Splice Report
Device Type: Splice  Model: Needs Verify Mid-Sheath  Name: STATE_OFFICE   ID: 654851126
Report Date: Thu May 21 13:45:27 2026

Location: 40.676379 -111.952771
Street:    City/St:    Pole #: 
Desc:    Splice#: STATE_OFFICE


Terminating,,,Number/,Name/,,,,Number/,Name/,Terminating
SLCC_BUILDING_(UETN),288-SMF DIST I-215: STATE OFFICE - 4240 S, 277,AQ-BK,BL,<->,144-SMF: TSOB - I-215,   1,BL,BL,TSOB,[DTS] TSOB EAST-NORTH - SLCC
SLCC_BUILDING_(UETN),288-SMF DIST I-215: STATE OFFICE - 4240 S, 278,AQ-BK,OR,<->,144-SMF: TSOB - I-215,   2,BL,OR,TSOB,[DTS] TSOB EAST-NORTH - SLCC
HUB2-10(3500_S),288-SMF DIST I-215: STATE OFFICE - 4240 S, 279,AQ-BK,GR,<->,144-SMF: TSOB - I-215,   3,BL,GR,TSOB,
HUB2-10(3500_S),288-SMF DIST I-215: STATE OFFICE - 4240 S, 280,AQ-BK,BR,<->,144-SMF: TSOB - I-215,   4,BL,BR,TSOB,
HUB2-10(3500_S),288-SMF DIST I-215: STATE OFFICE - 4240 S, 281,AQ-BK,SL,<->,144-SMF: TSOB - I-215,   5,BL,SL,TSOB,
HUB2-10(3500_S),288-SMF DIST I-215: STATE OFFICE - 4240 S, 282,AQ-BK,WH,<->,144-SMF: TSOB - I-215,   6,BL,WH,TSOB,
HUB2-10(3500_S),288-SMF DIST I-215: STATE OFFICE - 4240 S, 283,AQ-BK,RD,<->,144-SMF: TSOB - I-215,   7,BL,RD,TSOB,
HUB2-10(3500_S),288-SMF DIST I-215: STATE OFFICE - 4240 S, 284,AQ-BK,BK,<->,144-SMF: TSOB - I-215,   8,BL,BK,TSOB,
HUB2-10(3500_S),288-SMF DIST I-215: STATE OFFICE - 4240 S, 285,AQ-BK,YL,<->,144-SMF: TSOB - I-215,   9,BL,YL,TSOB,
HUB2-10(3500_S),288-SMF DIST I-215: STATE OFFICE - 4240 S, 286,AQ-BK,VI,<->,144-SMF: TSOB - I-215,  10,BL,VI,TSOB,
HUB2-10(3500_S),288-SMF DIST I-215: STATE OFFICE - 4240 S, 287,AQ-BK,RO,<->,144-SMF: TSOB - I-215,  11,BL,RO,TSOB,
HUB2-10(3500_S),288-SMF DIST I-215: STATE OFFICE - 4240 S, 288,AQ-BK,AQ,<->,144-SMF: TSOB - I-215,  12,BL,AQ,TSOB,
