Bentley Splice Report
Device Type: Splice  Model: UDOT SPEC Full  Name: SPI-215&I-80   ID: 654013009
Report Date: Fri May 22 10:16:31 2026

Location: 40.764258 -111.946988
Street:    City/St:    Pole #: 
Desc:    Splice#: SPI-215&I-80


Terminating,,,Number/,Name/,,,,Number/,Name/,Terminating
Device,From,,Buffer,Color,,To,,Buffer,Color,Device,OS
Left ---

HUB2-4(200S&1200W),48-SMF I-80 DIST: I-215 - REDWOOD RD,  41,BR,SL,<->,I-215 W 24 N TO N.TEMPLE,  21,OR,YL,HUB2-3(I-215&SR-68),CH 2454
HUB2-4(200S&1200W),48-SMF I-80 DIST: I-215 - REDWOOD RD,  42,BR,WH,<->,I-215 W 24 N TO N.TEMPLE,  22,OR,VI,HUB2-3(I-215&SR-68),CH 2454
HUB2-4(200S&1200W),48-SMF I-80 DIST: I-215 - REDWOOD RD,  43,BR,RD,<->,I-215 W 24 N TO N.TEMPLE,  23,OR,RO,HUB2-3(I-215&SR-68),[DTS] JORDAN RIVER OHV PARK
HUB2-4(200S&1200W),48-SMF I-80 DIST: I-215 - REDWOOD RD,  44,BR,BK,<->,I-215 W 24 N TO N.TEMPLE,  24,OR,AQ,HUB2-3(I-215&SR-68),[DTS] JORDAN RIVER OHV PARK
HUB2-4(200S&1200W),48-SMF I-80 DIST: I-215 - REDWOOD RD,  45,BR,YL,<->,288-SMF I-215 DIST: SR-201 - N TEMPLE, ,GR,RO, ,CH 2004
HUB2-4(200S&1200W),48-SMF I-80 DIST: I-215 - REDWOOD RD,  46,BR,VI,<->,288-SMF I-215 DIST: SR-201 - N TEMPLE, ,GR,AQ, ,CH 2004
HUB2-4(200S&1200W),48-SMF I-80 DIST: I-215 - REDWOOD RD,  47,BR,RO,<->,288-SMF I-215 DIST: SR-201 - N TEMPLE, ,BR,BL, ,CH 2326
HUB2-4(200S&1200W),48-SMF I-80 DIST: I-215 - REDWOOD RD,  48,BR,AQ,<->,288-SMF I-215 DIST: SR-201 - N TEMPLE, ,BR,OR, ,CH 2326
HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: SR-201 - N TEMPLE,   1,BL,BL,<->,6 DROP (CCTV): I-215 NB & I-80 (NE CORNER),   3,BL,GR,HUB2-4(200S&1200W),CH 2305
HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: SR-201 - N TEMPLE,   2,BL,OR,<->,6 DROP (CCTV): I-215 NB & I-80 (NE CORNER),   4,BL,BR,HUB2-4(200S&1200W),CH 2305
